"Ano/mês processamento";"Clínica cirúrgica";"Obstetrícia";"Clínica médica";"Cuidados prolongados (crônicos)";"Psiquiatria";"Pneumologia sanitária (tisiologia)";"Pediatria";"Reabilitação";"Clínica cirúrgica - hospital-dia";"Aids - hospital-dia";"Intercorrência pós-transplante - hospital-dia";"Saúde mental - hospital-dia";"Saúde mental - clínico";"Não discriminado";"Total"
"2014";6,0;3,1;9,1;97,5;125,4;49,9;6,6;38,2;0,0;28,3;12,8;28,5;9,9;...;8,8
"..Janeiro/2014";6,1;3,0;8,7;95,3;114,5;59,1;6,1;41,3;-;28,9;...;29,2;7,9;...;9,0
"..Fevereiro/2014";6,0;3,1;9,1;87,9;123,9;64,0;6,7;33,1;-;26,0;22,0;26,7;6,5;...;8,7
"..Março/2014";6,1;3,0;9,3;85,3;166,8;68,8;6,5;43,8;0,4;30,0;15,0;29,4;9,5;...;9,2
"..Abril/2014";6,3;3,1;9,1;107,3;143,5;63,2;6,5;44,0;-;28,0;8,8;27,5;8,4;...;9,1
"..Maio/2014";6,2;3,1;9,2;107,9;137,9;54,6;6,5;43,1;-;29,7;15,0;29,7;13,2;...;9,0
"..Junho/2014";6,0;3,0;8,9;92,4;139,1;58,6;6,5;41,0;-;29,0;7,0;28,2;3,0;...;9,0
"..Julho/2014";6,1;3,1;9,2;112,0;134,3;40,3;6,9;41,9;-;28,3;...;28,9;11,5;...;8,9
"..Agosto/2014";5,7;3,1;9,0;120,2;104,3;30,8;6,6;32,6;-;27,8;13,0;28,3;16,0;...;8,5
"..Setembro/2014";5,6;3,2;8,7;86,5;106,7;47,7;6,5;36,6;-;29,0;20,5;28,0;6,3;...;8,3
"..Outubro/2014";6,0;3,2;9,2;95,3;127,3;43,3;6,6;29,4;-;28,4;12,7;29,2;13,1;...;8,7
"..Novembro/2014";5,7;3,1;9,2;90,9;124,8;42,8;6,8;32,0;-;29,0;13,0;27,4;9,7;...;8,6
"..Dezembro/2014";6,2;3,2;9,4;101,2;100,5;41,5;6,7;37,6;-;26,1;...;28,9;11,6;...;8,9
"2015";5,7;3,1;8,9;90,9;114,2;45,3;6,7;35,1;0,2;28,0;8,5;27,9;9,8;...;8,3
"..Janeiro/2015";6,0;3,1;8,6;134,9;124,8;32,0;6,8;38,8;0,1;29,6;...;27,9;8,6;...;8,4
"..Fevereiro/2015";6,1;3,2;9,0;95,6;158,3;30,3;6,8;38,2;0,0;24,9;9,0;25,7;6,8;...;8,5
"..Março/2015";5,6;3,1;8,6;76,7;129,0;40,7;6,2;32,8;0,0;30,0;...;27,9;8,4;...;8,1
"..Abril/2015";5,9;3,1;8,4;91,4;125,7;46,6;6,3;35,3;-;29,0;...;28,2;8,7;...;8,0
"..Maio/2015";5,8;3,1;8,8;83,7;94,3;60,8;6,5;38,5;0,1;27,4;...;28,1;10,9;...;8,2
"..Junho/2015";5,5;3,1;9,1;86,0;102,7;54,5;6,5;33,6;0,1;29,0;...;28,4;10,2;...;8,1
"..Julho/2015";5,7;3,1;9,0;75,1;102,1;55,8;7,0;41,0;0,0;26,0;...;28,9;10,2;...;8,2
"..Agosto/2015";5,4;3,1;8,8;101,8;107,8;50,0;7,1;33,4;0,4;30,0;...;21,9;9,7;...;8,2
"..Setembro/2015";5,6;3,2;9,1;87,8;106,2;36,2;6,8;22,4;0,3;29,0;...;27,7;10,3;...;8,2
"..Outubro/2015";5,5;3,1;9,1;91,7;102,2;34,4;6,8;38,8;0,5;30,0;...;5,5;9,7;...;8,2
"..Novembro/2015";5,5;3,1;9,0;96,4;118,3;67,5;6,7;38,9;0,1;27,0;7,8;28,3;9,6;...;8,5
"..Dezembro/2015";6,1;3,1;9,1;93,8;128,4;56,5;6,9;33,2;-;30,0;9,3;29,1;10,4;...;8,6
"2016";6,0;3,0;9,1;77,0;121,1;59,3;7,0;39,1;0,1;27,7;10,4;27,1;9,7;...;8,3
"..Janeiro/2016";5,8;3,0;8,8;83,8;120,4;79,7;6,7;32,7;-;26,9;5,5;22,5;8,9;...;8,3
"..Fevereiro/2016";5,9;3,0;8,7;76,1;109,7;52,8;6,6;28,0;0,0;28,0;10,1;26,2;9,1;...;8,1
"..Março/2016";5,8;3,1;8,7;75,9;127,4;51,1;6,6;43,3;0,0;28,0;...;24,5;11,8;...;8,1
"..Abril/2016";5,7;3,1;8,9;80,0;124,7;141,4;6,6;31,8;0,0;25,9;-;28,8;10,3;...;8,1
"..Maio/2016";5,8;3,0;9,0;85,8;134,8;68,2;6,6;37,0;-;26,5;8,0;4,3;12,3;...;8,1
"..Junho/2016";6,0;3,0;8,8;89,9;124,7;51,9;6,9;43,0;0,2;27,6;11,4;28,4;8,8;...;8,2
"..Julho/2016";6,2;2,9;9,5;60,4;108,4;55,7;7,2;39,6;0,2;28,1;8,7;29,2;10,7;...;8,4
"..Agosto/2016";5,9;3,0;9,1;64,3;125,0;40,7;7,4;44,0;0,1;28,3;10,9;29,3;9,6;...;8,3
"..Setembro/2016";6,2;3,0;9,4;84,7;123,4;61,4;7,0;37,7;0,0;27,7;18,3;20,7;9,3;...;8,4
"..Outubro/2016";5,9;3,0;9,4;82,0;118,7;48,5;7,1;39,1;-;29,9;4,0;25,6;8,3;...;8,4
"..Novembro/2016";6,4;3,1;9,7;72,4;116,9;47,8;7,5;40,4;0,0;...;11,8;22,4;9,4;...;8,6
"..Dezembro/2016";6,7;3,0;9,7;78,9;123,3;49,2;7,4;41,6;0,1;23,7;...;29,4;9,0;...;8,9
"2017";6,1;3,0;9,1;75,6;105,0;59,4;7,3;35,6;0,3;28,3;9,8;27,5;9,7;...;8,1
"..Janeiro/2017";6,3;2,9;9,0;74,8;103,3;36,7;7,1;27,3;0,1;30,0;12,0;4,0;10,6;...;8,4
"..Fevereiro/2017";6,4;3,1;8,8;71,1;124,3;75,5;7,6;36,9;-;27,1;...;27,8;9,8;...;8,5
"..Março/2017";6,3;3,1;9,3;69,8;120,9;42,9;7,4;31,8;1,1;28,8;17,0;28,7;9,9;...;8,4
"..Abril/2017";6,0;3,0;8,8;82,9;120,8;52,8;7,1;35,6;0,4;25,3;14,0;28,8;10,6;...;8,2
"..Maio/2017";6,2;3,0;9,3;82,2;113,1;63,0;7,6;34,5;0,3;28,7;9,0;28,2;9,2;...;8,2
"..Junho/2017";6,0;3,0;9,0;75,7;108,2;76,3;7,5;41,3;0,2;28,3;11,0;29,1;9,7;...;8,1
"..Julho/2017";6,0;3,0;9,0;74,2;107,0;75,3;7,5;37,2;0,1;30,0;6,3;27,5;11,4;...;8,0
"..Agosto/2017";5,9;3,0;9,0;75,1;90,9;66,9;7,6;44,0;0,1;25,8;7,3;28,9;7,9;...;7,9
"..Setembro/2017";5,8;3,0;9,0;74,9;87,8;55,3;7,2;31,6;0,4;1,0;...;26,6;8,4;...;7,8
"..Outubro/2017";5,7;3,0;9,0;83,9;94,9;67,9;6,8;40,8;0,0;29,6;14,0;24,7;9,4;...;7,7
"..Novembro/2017";6,2;3,0;9,4;77,4;98,5;74,6;7,2;...;0,4;29,1;...;26,6;8,3;...;8,1
"..Dezembro/2017";6,2;3,1;9,2;68,4;97,3;53,1;7,0;31,1;0,0;24,4;...;25,8;12,2;...;8,0
"2018";5,7;3,0;8,9;76,5;97,6;54,1;7,1;38,9;0,0;27,7;7,3;26,1;10,5;...;7,6
"..Janeiro/2018";5,8;3,0;9,0;75,2;112,5;34,0;7,2;36,1;0,0;29,1;6,0;28,2;10,1;...;7,7
"..Fevereiro/2018";6,2;3,0;8,9;71,1;94,8;32,6;7,4;44,0;0,1;25,0;...;25,5;10,9;...;7,9
"..Março/2018";5,8;3,0;9,0;70,6;95,7;45,6;7,3;36,8;0,0;29,8;...;27,2;10,2;...;7,6
"..Abril/2018";5,5;3,0;8,9;77,1;105,9;57,9;6,8;44,0;0,0;27,6;...;24,8;10,1;...;7,4
"..Maio/2018";5,5;3,0;8,6;77,4;104,5;52,7;7,1;44,0;-;29,9;...;25,8;11,2;...;7,4
"..Junho/2018";5,9;3,1;8,9;67,0;103,4;66,0;7,0;39,3;0,0;24,1;...;25,8;11,6;...;7,6
"..Julho/2018";6,0;3,0;9,1;77,4;100,8;71,3;7,2;33,1;0,0;29,9;...;27,6;10,8;...;7,7
"..Agosto/2018";5,5;3,0;8,6;74,7;91,8;50,5;7,2;...;0,0;28,6;-;28,6;9,9;...;7,4
"..Setembro/2018";5,5;3,1;9,1;71,5;96,2;78,8;7,3;41,3;0,0;16,3;...;23,5;10,8;...;7,5
"..Outubro/2018";5,7;3,0;9,1;87,6;84,1;54,6;7,2;34,5;0,0;28,6;16,0;27,6;11,3;...;7,5
"..Novembro/2018";5,6;3,1;9,1;80,1;85,1;63,9;6,8;44,0;0,0;27,5;...;26,4;8,6;...;7,5
"..Dezembro/2018";5,4;3,0;8,5;100,9;101,5;98,7;6,7;40,2;-;27,9;...;22,4;10,7;...;7,4
"2019";5,6;3,0;8,8;72,3;74,1;51,9;6,9;29,6;0,0;28,1;22,5;26,6;8,0;...;7,3
"..Janeiro/2019";6,0;3,0;9,0;58,5;68,6;33,8;7,5;33,0;-;27,3;22,5;25,8;8,6;...;7,6
"..Fevereiro/2019";5,7;3,0;8,7;76,5;70,3;52,2;6,6;44,0;-;22,1;...;24,8;7,7;...;7,2
"..Março/2019";5,8;3,0;9,0;65,2;80,1;65,6;7,1;24,8;0,0;29,2;...;25,4;7,7;...;7,5
"..Abril/2019";5,5;3,0;8,8;70,2;84,9;70,2;6,7;33,2;0,0;28,9;...;25,1;8,1;...;7,3
"..Maio/2019";5,7;3,0;8,8;78,6;77,6;48,4;6,8;9,0;0,1;29,9;...;27,7;9,1;...;7,4
"..Junho/2019";5,5;3,1;8,6;65,2;81,6;82,2;6,7;...;0,0;29,1;...;26,4;7,6;...;7,3
"..Julho/2019";5,5;3,1;8,8;57,2;72,7;56,8;7,1;...;0,0;28,2;...;29,2;8,2;...;7,3
"..Agosto/2019";5,4;3,1;8,8;78,8;69,3;41,6;7,5;30,8;0,0;29,9;...;27,6;7,6;...;7,2
"..Setembro/2019";5,3;3,0;8,7;78,8;71,4;44,7;6,9;26,6;0,0;27,7;...;25,7;8,0;...;7,1
"..Outubro/2019";5,4;3,1;8,8;97,7;70,6;58,7;7,1;28,3;0,0;24,0;...;26,7;7,7;...;7,3
"..Novembro/2019";5,5;3,0;8,9;77,2;73,3;52,3;6,4;27,5;0,0;29,1;...;25,9;7,6;...;7,3
"..Dezembro/2019";5,5;3,0;9,0;86,4;72,4;56,3;6,3;28,3;0,0;29,9;...;28,6;8,4;...;7,4
"2020";5,9;2,9;8,5;79,3;83,0;62,4;7,2;29,2;0,0;29,4;...;25,1;8,4;7,9;7,3
"..Janeiro/2020";5,9;3,0;9,0;58,1;79,9;32,4;7,1;32,4;0,0;30,0;...;30,0;7,9;...;7,4
"..Fevereiro/2020";5,5;3,0;8,9;102,3;72,9;56,7;6,6;33,5;0,0;26,7;...;23,4;8,2;...;7,3
"..Março/2020";5,7;2,9;9,3;94,3;104,0;46,7;6,7;28,7;0,0;30,0;...;...;9,8;...;7,4
"..Abril/2020";6,9;2,8;8,7;92,2;100,6;77,2;7,6;32,4;0,0;29,0;...;14,5;7,9;...;7,6
"..Maio/2020";7,2;2,8;8,1;87,3;120,5;97,7;7,7;33,4;0,2;30,0;...;18,8;9,3;...;7,6
"..Junho/2020";6,6;2,9;8,1;82,3;110,1;79,5;7,6;28,3;-;29,1;...;22,0;7,9;6,5;7,5
"..Julho/2020";6,2;2,9;8,2;71,0;74,7;72,2;7,5;25,1;-;30,0;...;...;8,4;7,9;7,3
"..Agosto/2020";5,8;2,9;8,2;73,3;79,1;69,7;7,3;25,6;-;30,0;...;25,1;8,2;9,7;7,2
"..Setembro/2020";5,5;2,9;8,4;72,4;82,2;81,1;7,0;30,2;0,0;29,0;...;26,2;7,6;...;7,0
"..Outubro/2020";5,4;3,0;8,3;77,8;68,7;67,9;7,0;23,4;-;30,0;...;26,9;8,8;...;7,0
"..Novembro/2020";5,6;2,8;8,2;78,2;67,2;79,3;7,5;26,5;-;29,0;...;26,9;8,8;...;7,2
"..Dezembro/2020";5,8;2,9;8,3;83,6;69,4;76,0;7,2;32,2;0,0;30,0;...;27,7;8,1;...;7,2
"2021";5,2;2,9;8,3;77,0;55,7;59,0;6,8;32,3;0,1;29,1;4,0;27,4;7,9;...;6,9
"  Janeiro/2021";5,8;2,9;8,1;75,4;68,9;32,9;6,9;19,8;0,0;29,6;...;29,1;10,4;...;7,0
"  Fevereiro/2021";5,5;2,9;8,3;68,7;60,0;46,4;6,9;32,9;-;25,0;...;24,9;9,3;...;7,0
"  Março/2021";5,2;2,9;8,0;79,0;63,8;61,5;7,1;35,4;-;30,0;...;27,0;7,7;...;6,8
"  Abril/2021";5,4;2,9;7,8;78,2;60,9;67,1;7,2;33,9;0,1;29,0;...;27,9;8,6;...;6,8
"  Maio/2021";5,3;3,0;8,2;82,9;51,3;63,6;7,2;31,5;-;30,0;...;28,0;7,1;...;6,9
"  Junho/2021";5,0;2,9;8,1;75,2;47,5;53,9;7,1;34,7;0,0;29,0;...;25,0;7,7;...;6,8
"  Julho/2021";5,1;2,9;8,4;65,5;58,8;78,6;6,8;37,1;0,0;28,3;...;27,5;8,0;...;6,9
"  Agosto/2021";5,0;2,9;8,2;74,9;50,5;77,1;6,5;32,5;0,0;30,0;...;30,0;7,7;...;6,7
"  Setembro/2021";5,1;2,9;8,5;73,2;47,7;66,1;6,6;32,4;0,5;29,0;...;27,5;7,0;...;6,8
"  Outubro/2021";5,1;2,9;8,6;82,8;53,7;56,7;6,6;33,9;0,1;30,0;5,0;28,4;7,8;...;6,9
"  Novembro/2021";5,1;3,0;8,7;81,5;56,9;69,1;6,6;28,2;-;29,0;...;27,4;7,6;...;6,9
"  Dezembro/2021";5,2;2,9;8,7;94,0;54,3;58,6;6,6;30,0;0,0;30,0;2,0;28,0;7,2;...;6,9
"2022";5,0;3,0;9,0;70,4;43,2;58,5;6,4;36,5;0,0;29,3;7,4;26,8;7,1;...;6,8
"..Janeiro/2022";5,6;2,9;8,5;72,1;46,9;38,4;6,9;37,4;0,0;30,0;...;27,7;8,0;...;7,0
"..Fevereiro/2022";5,1;2,9;8,6;66,0;45,4;70,2;6,6;30,5;0,0;27,2;9,0;26,3;7,9;...;6,7
"..Março/2022";5,0;2,9;9,0;64,4;45,5;52,9;6,0;35,7;0,0;30,0;8,0;27,5;7,1;...;6,7
"..Abril/2022";5,0;3,0;9,0;68,4;41,1;65,6;6,6;29,0;0,0;29,0;14,0;26,2;8,1;...;6,7
"..Maio/2022";5,0;3,1;9,3;78,1;39,6;81,5;6,2;11,0;0,0;29,0;6,0;28,7;7,7;...;6,9
"..Junho/2022";4,9;3,0;9,2;117,3;43,0;65,1;6,3;33,4;0,0;29,0;...;25,6;6,6;...;6,8
"..Julho/2022";4,8;3,0;8,8;67,6;53,1;49,3;6,4;40,5;0,0;29,0;8,0;27,7;6,8;...;6,6
"..Agosto/2022";4,8;3,0;9,1;57,9;39,7;50,0;6,3;39,2;0,1;30,0;...;26,1;6,6;...;6,8
"..Setembro/2022";4,7;3,0;9,1;70,8;45,8;57,5;6,2;36,4;0,1;29,0;4,0;25,7;6,6;...;6,8
"..Outubro/2022";4,9;3,0;9,0;68,8;38,4;70,0;6,3;38,1;0,0;30,0;...;26,3;6,5;...;6,7
"..Novembro/2022";4,8;3,0;9,0;81,1;41,5;57,0;6,2;35,4;0,0;29,0;...;26,9;6,5;...;6,6
"..Dezembro/2022";5,0;3,0;9,3;61,7;40,7;67,4;6,7;40,5;0,0;29,9;6,5;27,6;6,6;...;6,8
"2023";4,5;3,1;8,6;57,7;36,1;44,3;6,4;37,9;0,1;29,2;7,6;25,9;6,3;...;6,3
"Janeiro/2023";5,0;3,0;8,9;52,5;44,0;29,6;6,4;34,6;0,1;30,0;7,0;27,6;6,2;...;6,7
"Fevereiro/2023";4,7;3,0;8,7;68,0;36,7;55,5;6,3;33,0;0,0;27,3;...;24,9;5,4;...;6,5
"Março/2023";4,5;3,1;8,5;64,0;40,1;43,3;5,8;42,6;0,0;29,8;...;27,5;6,4;...;6,2
"Abril/2023";4,7;3,1;8,6;47,0;39,0;41,4;6,1;38,1;0,0;29,0;3,0;23,6;6,3;...;6,4
"Maio/2023";4,6;3,0;8,5;54,8;37,2;48,1;6,3;39,5;0,0;30,0;...;25,8;6,7;...;6,2
"Junho/2023";4,4;3,1;8,4;59,9;42,6;38,8;6,4;33,6;0,1;29,0;...;25,4;6,9;...;6,2
"Julho/2023";4,5;3,1;8,4;52,8;40,3;52,5;6,7;40,4;0,0;30,0;28,0;29,3;6,9;...;6,2
"Agosto/2023";4,3;3,1;8,5;63,2;32,5;35,1;6,5;36,0;0,0;30,0;4,5;25,7;6,2;...;6,2
"Setembro/2023";4,4;3,1;8,7;59,3;32,2;39,0;6,7;41,3;0,1;29,0;...;26,1;6,2;...;6,2
"Outubro/2023";4,3;3,0;8,8;54,5;35,5;45,5;6,4;38,6;0,1;30,0;4,0;25,8;5,6;...;6,0
"Novembro/2023";4,5;3,1;8,9;64,6;29,6;55,1;6,5;38,5;0,0;28,5;...;26,8;7,2;...;6,3
"Dezembro/2023";4,6;3,2;8,7;62,3;25,2;72,3;6,6;41,0;0,0;28,8;2,0;25,3;6,1;...;6,3
"2024";4,8;3,1;8,6;35,9;18,4;30,2;6,7;41,0;0,1;30,0;...;29,7;5,9;...;6,2
"Janeiro/2024";4,8;3,1;8,6;35,9;18,4;30,2;6,7;41,0;0,1;30,0;...;29,7;5,9;...;6,2
"Total";5,5;3,0;8,8;77,9;90,1;52,8;6,8;35,3;0,1;28,6;10,0;26,9;8,3;7,9;7,5